model,threshold_setup,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,far_mean,far_std
AE,saved_mean_plus_3std,1.0,0.0,1.0,9.614813431917819e-17,0.9836658680841506,0.01884017745691024,0.9685253061453769,0.036066723111028744,1.0,0.0,0.3007246376811594,0.41213668577678814
OC-SVM,saved_mean_plus_3std,1.0,0.0,1.0,0.0,0.9801743286296644,0.016801680620438755,0.9616476112118519,0.032058894760917625,1.0,0.0,0.33695652173913043,0.3905487874613409
Isolation Forest,saved_mean_plus_3std,1.0,0.0,1.0,5.551115123125783e-17,0.986006124462098,0.0173251336705416,0.972964683087191,0.0331380340782402,1.0,0.0,0.2679028132992327,0.39046689821168656
ResDilatedAE,saved_mean_plus_3std,1.0,0.0,1.0,9.614813431917819e-17,0.9874218352365587,0.018555508622064145,0.975806062922425,0.03546545404254239,1.0,0.0,0.2571398124467178,0.41207957640833043
ResDilatedAE,percentile_99,1.0,0.0,1.0,9.614813431917819e-17,0.9877754406049312,0.018750306499181236,0.9765102770035056,0.03585253664579577,1.0,0.0,0.25351662404092073,0.41412830359951236
