setting,threshold_mean,threshold_std,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,far_mean,far_std,deferred_rate_mean
Deterministic Baseline,0.0005805021586517466,9.219806008002628e-05,0.8584640115375869,0.012770812445911939,0.7572579868152112,0.021621640823337625,0.9996213170293554,2.0709604733979094e-05,0.6098137352736819,0.028295998255300263,0.007106478739784437,0.000601024017830879,
MC No Defer,0.0011479796623461856,0.00017736187316287245,0.8147629583513555,0.008950102830445773,0.7413985877883871,0.011131743871196684,0.999646305590316,2.277114994029137e-05,0.5892717014524359,0.01411424356246772,0.006415571084527617,0.0005628559133555711,
Uncertainty Aware,0.0011479796623461856,0.00017736187316287245,0.6896736804205462,0.08644440817403898,0.4472194247402685,0.25737512773119703,0.9984755882630634,0.0020659450076135986,0.3099570597912667,0.19817806560767057,0.0034948357544632804,0.000583327698206881,36.3692%
