rule,threshold_mean,threshold_std,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,far_mean,far_std
mean_plus_3std,0.017766568574922058,0.0021890464247656407,1.0,0.0,0.9874218352365587,0.018555508622064145,0.975806062922425,0.03546545404254239,1.0,0.0,0.2571398124467178,0.41207957640833043
percentile_99,0.020168771473690863,0.0031844281940211724,1.0,0.0,0.9877754406049312,0.018750306499181236,0.9765102770035056,0.03585253664579577,1.0,0.0,0.25351662404092073,0.41412830359951236
percentile_99_5,0.020979163846932367,0.0032686957750341053,1.0,0.0,0.9877754406049312,0.018750306499181236,0.9765102770035056,0.03585253664579577,1.0,0.0,0.25351662404092073,0.41412830359951236
median_plus_3mad,0.01267086184816435,0.0015219051240349102,1.0,0.0,0.9773634509356954,0.014019685166979292,0.9560922355418607,0.026493073322388823,1.0,0.0,0.36594202898550726,0.36840896132006395
median_plus_4mad,0.014369266980793327,0.001779038313898095,1.0,0.0,0.9835967372120198,0.01740707402053488,0.9682903835932715,0.03313510616002223,1.0,0.0,0.3007246376811594,0.4053277565281464
