model,threshold_setup,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,far_mean,far_std
CompactAE,mean_plus_3std,0.5462293852655394,0.0,0.9763607857260257,0.0,0.26079864140856723,0.0,0.9981155537323574,0.0,0.1499955691008357,0.0,0.008705436456235935,0.0
OC-SVM,mean_plus_3std,0.5770906815137827,0.0,0.9762271810547409,0.0,0.000319744204636291,0.0,1.0,0.0,0.0001598976654940838,0.0,0.0,0.0
Isolation Forest,mean_plus_3std,0.9142737319132881,0.0,0.9967555268483105,0.0,0.6337899014723237,0.0,0.9994191088299607,0.0,0.4640288046975237,0.0,0.008290891863081844,0.0
ResDilatedAE,mean_plus_3std,0.8584640115375869,0.012770812445911939,0.0,0.0,0.7698409373917665,0.02961306012582746,0.9992031495115119,4.882389885874867e-05,0.6267583927009606,0.039754986610291664,0.01539737060286628,0.0018491643960672744
ResDilatedAE,percentile_99_5,0.8584640115375869,0.012770812445911939,0.0,0.0,0.7572579868152112,0.021621640823337625,0.9996213170293554,2.0709604733979094e-05,0.6098137352736819,0.028295998255300263,0.007106478739784437,0.000601024017830879
